SAMPLE,VALUE
Sample01,0
Sample02,0
Sample03,0
Sample04,0.000224
Sample05,0
Sample06,0
Sample07,0.0000409
Sample08,0
Sample09,0
Sample10,0.000622
Sample11,0.000164
Sample12,0.0000439
Sample13,0.000139
Sample14,0.0000977
Sample15,0
Sample16,0.000132
Sample17,0
Sample18,0
Sample19,0.0000624
Sample20,0
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0
Sample27,0
Sample28,0.0000222
Sample29,0.0000915
Sample30,0.000129
Sample31,0.0000614
Sample32,0.000145
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000119
Sample37,0.0000274
Sample38,0
Sample39,0.000597
Sample40,0.00025
Sample41,0.001172412
Sample42,0
Sample43,0
Sample44,0
Sample45,0.000206
Sample46,0.000164
Sample47,0.000248
Sample48,0.001187852
Sample49,0
Sample50,0.0000791
Sample51,0.0000192
Sample52,0
Sample53,0.000167
Sample54,0.002788335
Sample55,0.00044
Sample56,0.0003
Sample57,0.001029262
Sample58,0.000091
Sample59,0.0000955
Sample60,0.000244
Sample61,0.000353
Sample62,0.000101
Sample63,0.000893
Sample64,0
Sample65,0.000188
Sample66,0.000631
Sample67,0.000575
Sample68,0.000993
Sample69,0
Sample70,0.000957
Sample71,0.001729995
Sample72,0.000548
Sample73,0.000196
Sample74,0.000916
Sample75,0.000369
Sample76,0.00062
Sample77,0.000118
Sample78,0.000117
Sample79,0.000713
Sample80,0
Sample81,0.000106
Sample82,0
Sample83,0
Sample84,0.00019
Sample85,0
Sample86,0.000128
Sample87,0
Sample88,0
Sample89,0
Sample90,0
Sample91,0
Sample92,0
Sample93,0.0000522
Sample94,0
Sample95,0.000085
Sample96,0
Sample97,0.000132
Sample98,0.000875
Sample99,0
