SAMPLE,VALUE
Sample1,0.002143778
Sample2,0.0000985
Sample3,0.000178
Sample4,0
Sample5,0.004099125
Sample6,0.001145548
Sample7,0.0000613
Sample8,0.002936318
Sample9,0
Sample10,0.003422917
Sample11,0.004170203
Sample12,0.000351
Sample13,0.003008433
Sample14,0.000163
Sample15,0.000472
Sample16,0.002515733
Sample17,0.000911
Sample18,0.003147907
Sample19,0
Sample20,0
Sample21,0.0000456
Sample22,0.0000634
Sample23,0
Sample24,0
Sample25,0
Sample26,0.0000285
Sample27,0.0000828
Sample28,0.0000444
Sample29,0.000183
Sample30,0.001423386
Sample31,0
Sample32,0.0000725
Sample33,0.000136
Sample34,0
Sample35,0
Sample36,0.00859042
Sample37,0
Sample38,0
Sample39,0.000358
Sample40,0.0005
Sample41,0.001758618
Sample42,0
Sample43,0.000108
Sample44,0.000028
Sample45,0.004535306
Sample46,0.000082
Sample47,0.00062
Sample48,0.000317
Sample49,0.000388
Sample50,0.000158
Sample51,0.0000576
Sample52,0.000293
Sample53,0.000167
Sample54,0.000279
Sample55,0.000734
Sample56,0.000225
Sample57,0.000343
Sample58,0.000182
Sample59,0.000239
Sample60,0.000365
Sample61,0.000495
Sample62,0.000608
Sample63,0.000325
Sample64,0.002728718
Sample65,0.0005
Sample66,0.003640091
Sample67,0.000719
Sample68,0.000199
Sample69,0.001689984
Sample70,0.000718
Sample71,0.000989
Sample72,0.000457
Sample73,0.000196
Sample74,0.000392
Sample75,0.000158
Sample76,0.00132935
Sample77,0.000118
Sample78,0.000117
Sample79,0.000515
Sample80,0.000471
Sample81,0.002323516
Sample82,0.000635
Sample83,0.0000697
Sample84,0.001665389
Sample85,0.002182644
Sample86,0.001022818
Sample87,0.000126
Sample88,0.006177981
Sample89,0.000553
Sample90,0.001473598
Sample91,0.000723
Sample92,0.001664919
Sample93,0.003285621
Sample94,0.0000457
Sample95,0.00280533
Sample96,0.004336513
Sample97,0.000794
Sample98,0.000398
Sample99,0
