SAMPLE,VALUE
Sample1,0.0000804
Sample2,0
Sample3,0.000178
Sample4,0.000896
Sample5,0.000216
Sample6,0.000127
Sample7,0.0000204
Sample8,0.0000683
Sample9,0
Sample10,0.000104
Sample11,0.0000818
Sample12,0
Sample13,0
Sample14,0
Sample15,0.0000943
Sample16,0
Sample17,0
Sample18,0
Sample19,0
Sample20,0
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0.0000285
Sample27,0
Sample28,0
Sample29,0
Sample30,0.000323
Sample31,0.0000614
Sample32,0.0000725
Sample33,0.000102
Sample34,0
Sample35,0.0000725
Sample36,0
Sample37,0.0000274
Sample38,0
Sample39,0.000955
Sample40,0.001
Sample41,0.002344824
Sample42,0
Sample43,0
Sample44,0
Sample45,0
Sample46,0.000246
Sample47,0.000372
Sample48,0.001267042
Sample49,0
Sample50,0.000237
Sample51,0.000134
Sample52,0
Sample53,0.000666
Sample54,0.003346002
Sample55,0.001027117
Sample56,0.000674
Sample57,0.001200806
Sample58,0.000637
Sample59,0.000382
Sample60,0.001339329
Sample61,0.000424
Sample62,0.000659
Sample63,0.001136696
Sample64,0
Sample65,0.000875
Sample66,0.00106776
Sample67,0.002157227
Sample68,0.001588499
Sample69,0.00013
Sample70,0.001914334
Sample71,0.003707132
Sample72,0.001279656
Sample73,0.000538
Sample74,0.000654
Sample75,0.000791
Sample76,0.00132935
Sample77,0.0000393
Sample78,0.000117
Sample79,0.000871
Sample80,0.0000362
Sample81,0.000106
Sample82,0
Sample83,0
Sample84,0
Sample85,0.0000496
Sample86,0
Sample87,0
Sample88,0
Sample89,0
Sample90,0
Sample91,0
Sample92,0
Sample93,0.0000522
Sample94,0
Sample95,0.000085
Sample96,0.000197
Sample97,0.000397
Sample98,0.001352389
Sample99,0
