SAMPLE,VALUE
Sample1,0.00059
Sample2,0.0000985
Sample3,0.000711
Sample4,0.000448
Sample5,0.008629738
Sample6,0.010691784
Sample7,0.000143
Sample8,0.004506907
Sample9,0.000658
Sample10,0.010891099
Sample11,0.004006666
Sample12,0.002412988
Sample13,0.002591881
Sample14,0.001596435
Sample15,0.002121779
Sample16,0.006090723
Sample17,0.00806651
Sample18,0.007195215
Sample19,0.000374
Sample20,0.0000925
Sample21,0.000183
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0.001968655
Sample27,0.000414
Sample28,0.0000444
Sample29,0.000183
Sample30,0.002976171
Sample31,0.000338
Sample32,0.001557952
Sample33,0.000579
Sample34,0.000118
Sample35,0.000471
Sample36,0.001312425
Sample37,0.000192
Sample38,0.000256
Sample39,0.008833722
Sample40,0.011245333
Sample41,0.028137887
Sample42,0.001323315
Sample43,0.000217
Sample44,0.0000561
Sample45,0.000825
Sample46,0.006805889
Sample47,0.002604461
Sample48,0.00704792
Sample49,0
Sample50,0.001543152
Sample51,0.001036771
Sample52,0.000586
Sample53,0.000583
Sample54,0.011153339
Sample55,0.009830981
Sample56,0.006068161
Sample57,0.008062552
Sample58,0.002638698
Sample59,0.001767412
Sample60,0.006453129
Sample61,0.003179163
Sample62,0.00298872
Sample63,0.00730733
Sample64,0.006480705
Sample65,0.00362699
Sample66,0.005193197
Sample67,0.011505213
Sample68,0.007942496
Sample69,0.003639966
Sample70,0.012203877
Sample71,0.021377793
Sample72,0.006581088
Sample73,0.004695343
Sample74,0.014648584
Sample75,0.003742529
Sample76,0.011255163
Sample77,0.00153397
Sample78,0.001111692
Sample79,0.004553909
Sample80,0.000507
Sample81,0.003590888
Sample82,0.004448461
Sample83,0.0021608
Sample84,0.000809
Sample85,0.000794
Sample86,0.002173489
Sample87,0.001385092
Sample88,0.00113263
Sample89,0.000332
Sample90,0.000217
Sample91,0.000442
Sample92,0.001040574
Sample93,0.001251665
Sample94,0.0000457
Sample95,0.00153018
Sample96,0.000394
Sample97,0.006615367
Sample98,0.008830303
Sample99,0.002046971
