SAMPLE,VALUE
Sample1,0.161774834
Sample2,0.01118447
Sample3,0.050989589
Sample4,0.070338611
Sample5,0.04821866
Sample6,0.043785401
Sample7,0.000245
Sample8,0.023831977
Sample9,0.005482349
Sample10,0.037133463
Sample11,0.043010331
Sample12,0.012240428
Sample13,0.01985566
Sample14,0.002476103
Sample15,0.012259166
Sample16,0.026481403
Sample17,0.021727534
Sample18,0.018437739
Sample19,0.01565035
Sample20,0.015778155
Sample21,0.010315278
Sample22,0.002661737
Sample23,0.002344
Sample24,0.017707473
Sample25,0.002002884
Sample26,0.002653405
Sample27,0.01582386
Sample28,0.001885953
Sample29,0.021036669
Sample30,0.01552785
Sample31,0.001473983
Sample32,0.006739047
Sample33,0.002315565
Sample34,0.0000294
Sample35,0.000906
Sample36,0.036032037
Sample37,0.001505704
Sample38,0.000615
Sample39,0.030440528
Sample40,0.03573517
Sample41,0.056275775
Sample42,0.00264663
Sample43,0.003199379
Sample44,0.000533
Sample45,0.028242589
Sample46,0.025993578
Sample47,0.019099378
Sample48,0.027874918
Sample49,0.002326709
Sample50,0.012938735
Sample51,0.002937518
Sample52,0.054543695
Sample53,0.004913702
Sample54,0.052141859
Sample55,0.051942792
Sample56,0.019028555
Sample57,0.055580143
Sample58,0.018288905
Sample59,0.011129916
Sample60,0.038962288
Sample61,0.072484911
Sample62,0.037080395
Sample63,0.062274691
Sample64,0.02387628
Sample65,0.041835457
Sample66,0.16103763
Sample67,0.06414156
Sample68,0.06016441
Sample69,0.020279809
Sample70,0.04726011
Sample71,0.085881883
Sample72,0.028700857
Sample73,0.017852086
Sample74,0.053624282
Sample75,0.027779052
Sample76,0.049097327
Sample77,0.005703221
Sample78,0.005880267
Sample79,0.02352193
Sample80,0.005795579
Sample81,0.120611592
Sample82,0.01817514
Sample83,0.256647247
Sample84,0.029072935
Sample85,0.047373288
Sample86,0.019369624
Sample87,0.007177296
Sample88,0.050659448
Sample89,0.005493679
Sample90,0.007844742
Sample91,0.004860693
Sample92,0.040582388
Sample93,0.019974487
Sample94,0.000776
Sample95,0.028733385
Sample96,0.04454782
Sample97,0.025270701
Sample98,0.035162108
Sample99,0.045488248
