SAMPLE,VALUE
Sample1,0
Sample2,0
Sample3,0
Sample4,0.000448
Sample5,0.000216
Sample6,0
Sample7,0
Sample8,0
Sample9,0
Sample10,0
Sample11,0.000899
Sample12,0.0000877
Sample13,0.0000463
Sample14,0
Sample15,0
Sample16,0.000397
Sample17,0
Sample18,0
Sample19,0.0000624
Sample20,0.000231
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0
Sample30,0.000259
Sample31,0
Sample32,0.0000362
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000119
Sample37,0
Sample38,0.0000256
Sample39,0
Sample40,0
Sample41,0.001172412
Sample42,0
Sample43,0
Sample44,0
Sample45,0
Sample46,0.000082
Sample47,0.000124
Sample48,0
Sample49,0
Sample50,0.0000791
Sample51,0.0000576
Sample52,0
Sample53,0.000167
Sample54,0
Sample55,0
Sample56,0.00015
Sample57,0
Sample58,0
Sample59,0
Sample60,0
Sample61,0
Sample62,0.000101
Sample63,0.000731
Sample64,0
Sample65,0.000188
Sample66,0.000291
Sample67,0
Sample68,0.000199
Sample69,0
Sample70,0
Sample71,0.000494
Sample72,0.000274
Sample73,0
Sample74,0.000392
Sample75,0.000264
Sample76,0.000443
Sample77,0
Sample78,0
Sample79,0.0000792
Sample80,0.0000724
Sample81,0.001056144
Sample82,0.000127
Sample83,0
Sample84,0
Sample85,0.000248
Sample86,0.00032
Sample87,0.000042
Sample88,0
Sample89,0
Sample90,0
Sample91,0
Sample92,0
Sample93,0.000209
Sample94,0
Sample95,0.00068
Sample96,0.000394
Sample97,0
Sample98,0
Sample99,0
