SAMPLE,VALUE
Sample1,0.002384953
Sample2,0
Sample3,0
Sample4,0.000896
Sample5,0.00312828
Sample6,0.002927512
Sample7,0
Sample8,0.001365729
Sample9,0.000192
Sample10,0.004771339
Sample11,0.002125986
Sample12,0.000351
Sample13,0.000648
Sample14,0.000195
Sample15,0.000283
Sample16,0.006885165
Sample17,0.00130105
Sample18,0.002698206
Sample19,0.000811
Sample20,0.00185081
Sample21,0.000228
Sample22,0
Sample23,0
Sample24,0.001696966
Sample25,0
Sample26,0.0000571
Sample27,0
Sample28,0.0000444
Sample29,0.000457
Sample30,0.0000647
Sample31,0
Sample32,0
Sample33,0
Sample34,0
Sample35,0.000109
Sample36,0.002863473
Sample37,0.0000274
Sample38,0
Sample39,0.000477
Sample40,0.00474803
Sample41,0
Sample42,0
Sample43,0
Sample44,0
Sample45,0.001855353
Sample46,0.000246
Sample47,0.000372
Sample48,0.000713
Sample49,0
Sample50,0.000119
Sample51,0.000518
Sample52,0.00088
Sample53,0.0000833
Sample54,0
Sample55,0.005869242
Sample56,0.00015
Sample57,0.000172
Sample58,0.000455
Sample59,0.0000955
Sample60,0.000731
Sample61,0.002613978
Sample62,0.000507
Sample63,0.012097691
Sample64,0.012961409
Sample65,0.008942407
Sample66,0.013007259
Sample67,0.003020118
Sample68,0.002879155
Sample69,0.001169989
Sample70,0.002512563
Sample71,0.015569953
Sample72,0.004295988
Sample73,0.001418385
Sample74,0.010724856
Sample75,0.004164222
Sample76,0.00717849
Sample77,0.000157
Sample78,0.002837741
Sample79,0.009622608
Sample80,0.000942
Sample81,0.001372987
Sample82,0.00089
Sample83,0.007318838
Sample84,0
Sample85,0.001289744
Sample86,0.000511
Sample87,0.001133257
Sample88,0.000721
Sample89,0.0000737
Sample90,0.0000867
Sample91,0.0000803
Sample92,0.002497378
Sample93,0.000834
Sample94,0
Sample95,0.00136016
Sample96,0.0013798
Sample97,0
Sample98,0.003182091
Sample99,0.000455
