SAMPLE,VALUE
Sample1,0.009566609
Sample2,0.000542
Sample3,0.002309633
Sample4,0.001120042
Sample5,0.003559767
Sample6,0.010182651
Sample7,0
Sample8,0.001707162
Sample9,0.0000274
Sample10,0.003008018
Sample11,0.006132652
Sample12,0.001798773
Sample13,0.001434791
Sample14,0.000326
Sample15,0.001131615
Sample16,0.002780547
Sample17,0.00338273
Sample18,0.002248505
Sample19,0.000312
Sample20,0.000509
Sample21,0.000228
Sample22,0
Sample23,0.000164
Sample24,0.000959
Sample25,0
Sample26,0.000143
Sample27,0.002236881
Sample28,0.0000222
Sample29,0.000777
Sample30,0.000712
Sample31,0.0000307
Sample32,0.000254
Sample33,0.00017
Sample34,0
Sample35,0
Sample36,0.001193114
Sample37,0
Sample38,0.0000769
Sample39,0.001671245
Sample40,0.001249481
Sample41,0.003517236
Sample42,0.000132
Sample43,0.0000542
Sample44,0
Sample45,0.003298405
Sample46,0.002131965
Sample47,0.000248
Sample48,0.000554
Sample49,0
Sample50,0.002453216
Sample51,0.0000192
Sample52,0.001759474
Sample53,0.00025
Sample54,0.000837
Sample55,0.006309435
Sample56,0.0003
Sample57,0.004631679
Sample58,0.000273
Sample59,0.000908
Sample60,0.000609
Sample61,0.004804068
Sample62,0.001367719
Sample63,0.003410087
Sample64,0.003410897
Sample65,0.003564456
Sample66,0.004610782
Sample67,0.003883009
Sample68,0.002382749
Sample69,0.003509967
Sample70,0.00490548
Sample71,0.004448558
Sample72,0.001188252
Sample73,0.000978
Sample74,0.001307909
Sample75,0.000896
Sample76,0.003544933
Sample77,0.0000787
Sample78,0.000322
Sample79,0.00150477
Sample80,0.000398
Sample81,0.00168983
Sample82,0.001270989
Sample83,0.001115251
Sample84,0.000619
Sample85,0.001041716
Sample86,0.001789932
Sample87,0.000504
Sample88,0.000515
Sample89,0.000332
Sample90,0.000477
Sample91,0.000161
Sample92,0.007284018
Sample93,0.000626
Sample94,0.0000913
Sample95,0.00238028
Sample96,0.001182685
Sample97,0.000926
Sample98,0.001591046
Sample99,0.002046971
