SAMPLE,VALUE
Sample1,0.000161
Sample2,0.0000985
Sample3,0
Sample4,0
Sample5,0
Sample6,0
Sample7,0
Sample8,0.0000683
Sample9,0
Sample10,0
Sample11,0
Sample12,0
Sample13,0
Sample14,0
Sample15,0.0000943
Sample16,0
Sample17,0
Sample18,0
Sample19,0
Sample20,0.0000463
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0
Sample30,0.000194
Sample31,0.000123
Sample32,0.000362
Sample33,0.0000681
Sample34,0
Sample35,0
Sample36,0
Sample37,0.000958
Sample38,0
Sample39,0.000597
Sample40,0
Sample41,0.003224133
Sample42,0
Sample43,0
Sample44,0
Sample45,0.000618
Sample46,0.005821905
Sample47,0.000744
Sample48,0.001029471
Sample49,0
Sample50,0.000356
Sample51,0.000154
Sample52,0.000293
Sample53,0.000167
Sample54,0.002230668
Sample55,0.002054235
Sample56,0.00015
Sample57,0.014409667
Sample58,0.001455833
Sample59,0.0000955
Sample60,0.001217572
Sample61,0.003037867
Sample62,0.000811
Sample63,0.001217888
Sample64,0
Sample65,0.00075
Sample66,0.000728
Sample67,0.003307749
Sample68,0.001985624
Sample69,0
Sample70,0.003110792
Sample71,0.003707132
Sample72,0
Sample73,0.000538
Sample74,0.002354237
Sample75,0.000791
Sample76,0.002570077
Sample77,0.0000787
Sample78,0.000176
Sample79,0.000792
Sample80,0.000217
Sample81,0.000211
Sample82,0
Sample83,0.0000697
Sample84,0.000571
Sample85,0
Sample86,0
Sample87,0
Sample88,0
Sample89,0
Sample90,0
Sample91,0
Sample92,0.000832
Sample93,0.0000522
Sample94,0
Sample95,0.000425
Sample96,0
Sample97,0.001323073
Sample98,0.001193284
Sample99,0
