SAMPLE,VALUE
Sample1,0.081061599
Sample2,0.018279464
Sample3,0.061116441
Sample4,0.079522952
Sample5,0.023300292
Sample6,0.035766563
Sample7,0.000245
Sample8,0.032640931
Sample9,0.002302587
Sample10,0.034436619
Sample11,0.04243795
Sample12,0.021190419
Sample13,0.011200629
Sample14,0.003714155
Sample15,0.005610926
Sample16,0.02528974
Sample17,0.021597429
Sample18,0.006745514
Sample19,0.030427772
Sample20,0.032944416
Sample21,0.021360841
Sample22,0.004372854
Sample23,0.005832744
Sample24,0.035562507
Sample25,0.008679165
Sample26,0.006305402
Sample27,0.030405008
Sample28,0.002640334
Sample29,0.026433032
Sample30,0.018762819
Sample31,0.002733011
Sample32,0.00630427
Sample33,0.00238367
Sample34,0.0000882
Sample35,0.002427744
Sample36,0.062519164
Sample37,0.000876
Sample38,0.00059
Sample39,0.032111773
Sample40,0.040483199
Sample41,0.062137835
Sample42,0.002514298
Sample43,0.004283914
Sample44,0.000224
Sample45,0.031128693
Sample46,0.023615616
Sample47,0.02505243
Sample48,0.032547134
Sample49,0.002326709
Sample50,0.008388415
Sample51,0.003014316
Sample52,0.033430007
Sample53,0.007162345
Sample54,0.055209028
Sample55,0.031840638
Sample56,0.028018423
Sample57,0.054893969
Sample58,0.015377238
Sample59,0.016384382
Sample60,0.029221716
Sample61,0.042459485
Sample62,0.027658327
Sample63,0.089474197
Sample64,0.040589676
Sample65,0.044024158
Sample66,0.059406287
Sample67,0.043575993
Sample68,0.041400262
Sample69,0.02547976
Sample70,0.031347212
Sample71,0.068829078
Sample72,0.028883665
Sample73,0.015162046
Sample74,0.023411577
Sample75,0.023983811
Sample76,0.042096084
Sample77,0.007787846
Sample78,0.003978688
Sample79,0.014651707
Sample80,0.008439812
Sample81,0.016898297
Sample82,0.012582789
Sample83,0.054856432
Sample84,0.004377594
Sample85,0.021628014
Sample86,0.008885735
Sample87,0.008730278
Sample88,0.044172567
Sample89,0.005788642
Sample90,0.007367989
Sample91,0.006387192
Sample92,0.174816443
Sample93,0.021747679
Sample94,0.001644203
Sample95,0.042079957
Sample96,0.056177561
Sample97,0.028181462
Sample98,0.0488451
Sample99,0.053903574
