SAMPLE,VALUE
Sample1,0.19422627
Sample2,0.002660623
Sample3,0.012969477
Sample4,0.026880998
Sample5,0.020603499
Sample6,0.025711195
Sample7,0.000429
Sample8,0.009491819
Sample9,0.002521881
Sample10,0.030702528
Sample11,0.020769247
Sample12,0.008906118
Sample13,0.007266524
Sample14,0.003746735
Sample15,0.005752378
Sample16,0.028599915
Sample17,0.008717035
Sample18,0.008544318
Sample19,0.004925807
Sample20,0.003979241
Sample21,0.003468854
Sample22,0.000824
Sample23,0.000872
Sample24,0.010845827
Sample25,0.00333814
Sample26,0.003680529
Sample27,0.005882168
Sample28,0.000688
Sample29,0.013033588
Sample30,0.299428705
Sample31,0.001074779
Sample32,0.004963707
Sample33,0.002043146
Sample34,0.000118
Sample35,0.000761
Sample36,0.013601498
Sample37,0.000137
Sample38,0.000256
Sample39,0.016115574
Sample40,0.220158634
Sample41,0.056275775
Sample42,0.003175956
Sample43,0.002548658
Sample44,0.0000561
Sample45,0.120597918
Sample46,0.018695696
Sample47,0.018975356
Sample48,0.023519462
Sample49,0
Sample50,0.004827296
Sample51,0.002419132
Sample52,0.035189481
Sample53,0.004747136
Sample54,0.026768013
Sample55,0.058252228
Sample56,0.009589193
Sample57,0.030020139
Sample58,0.00855302
Sample59,0.004920092
Sample60,0.011932201
Sample61,0.069588341
Sample62,0.099033022
Sample63,0.059189374
Sample64,0.01159705
Sample65,0.049464644
Sample66,0.063094912
Sample67,0.053499238
Sample68,0.058178786
Sample69,0.010399902
Sample70,0.04091888
Sample71,0.054618406
Sample72,0.01965186
Sample73,0.014575128
Sample74,0.035444343
Sample75,0.026408548
Sample76,0.034385854
Sample77,0.003146605
Sample78,0.002662211
Sample79,0.011958961
Sample80,0.004165572
Sample81,0.045625401
Sample82,0.005338153
Sample83,0.517197875
Sample84,0.006851886
Sample85,0.008829786
Sample86,0.00332416
Sample87,0.0079328
Sample88,0.017504281
Sample89,0.014047595
Sample90,0.006111097
Sample91,0.005061548
Sample92,0.12278774
Sample93,0.014185536
Sample94,0.00032
Sample95,0.013261562
Sample96,0.013600883
Sample97,0.01389227
Sample98,0.03070718
Sample99,0.037527805
