SAMPLE,VALUE
Sample1,0.000616
Sample2,0.0000985
Sample3,0.000533
Sample4,0.000896
Sample5,0.000755
Sample6,0.000636
Sample7,0
Sample8,0
Sample9,0.000137
Sample10,0
Sample11,0.000409
Sample12,0.000263
Sample13,0
Sample14,0.0000326
Sample15,0.000236
Sample16,0
Sample17,0
Sample18,0
Sample19,0.0000624
Sample20,0.0000925
Sample21,0
Sample22,0
Sample23,0
Sample24,0.000148
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0.000137
Sample30,0.0000647
Sample31,0
Sample32,0.0000362
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000119
Sample37,0
Sample38,0
Sample39,0.000119
Sample40,0
Sample41,0
Sample42,0.000132
Sample43,0
Sample44,0.0000841
Sample45,0.000618
Sample46,0.000328
Sample47,0.000248
Sample48,0.000238
Sample49,0
Sample50,0.0000396
Sample51,0
Sample52,0
Sample53,0
Sample54,0.000279
Sample55,0.000293
Sample56,0
Sample57,0
Sample58,0.000091
Sample59,0.000191
Sample60,0.000122
Sample61,0.000212
Sample62,0
Sample63,0.000731
Sample64,0
Sample65,0.000188
Sample66,0.002766469
Sample67,0.000431
Sample68,0.0000993
Sample69,0.00039
Sample70,0.000838
Sample71,0.001112139
Sample72,0.000183
Sample73,0.000147
Sample74,0.000262
Sample75,0.000843
Sample76,0.000177
Sample77,0.000118
Sample78,0.0000585
Sample79,0.000119
Sample80,0.00058
Sample81,0.000211
Sample82,0
Sample83,0.029066242
Sample84,0.001475059
Sample85,0.0000496
Sample86,0.001406375
Sample87,0
Sample88,0.001544495
Sample89,0
Sample90,0
Sample91,0.0000803
Sample92,0.000624
Sample93,0.000313
Sample94,0
Sample95,0.000255
Sample96,0
Sample97,0.000265
Sample98,0.0000796
Sample99,0.000455
