SAMPLE,VALUE
Sample1,0.000241
Sample2,0.000197
Sample3,0.000178
Sample4,0.000896
Sample5,0.002804665
Sample6,0.003945777
Sample7,0.0000818
Sample8,0.002253453
Sample9,0.000384
Sample10,0.004460165
Sample11,0.001390068
Sample12,0.000877
Sample13,0.001388508
Sample14,0.000293
Sample15,0.000613
Sample16,0.001721291
Sample17,0.00234189
Sample18,0.000899
Sample19,0
Sample20,0.0000463
Sample21,0.0000913
Sample22,0
Sample23,0
Sample24,0.000148
Sample25,0
Sample26,0.000342
Sample27,0.000166
Sample28,0
Sample29,0.00032
Sample30,0.000582
Sample31,0.0000307
Sample32,0.000616
Sample33,0.000136
Sample34,0
Sample35,0.0000362
Sample36,0.000358
Sample37,0.00011
Sample38,0.0000769
Sample39,0.003819988
Sample40,0.001499378
Sample41,0.00293103
Sample42,0
Sample43,0.000108
Sample44,0.000028
Sample45,0.000618
Sample46,0.001803971
Sample47,0.000248
Sample48,0.001821372
Sample49,0.000776
Sample50,0.000514
Sample51,0.000154
Sample52,0
Sample53,0.000333
Sample54,0.004461336
Sample55,0.003521545
Sample56,0.000599
Sample57,0.002230067
Sample58,0.00091
Sample59,0.000143
Sample60,0.000852
Sample61,0.001201017
Sample62,0.002786095
Sample63,0.015507778
Sample64,0.002728718
Sample65,0.00275151
Sample66,0.002086986
Sample67,0.004314455
Sample68,0.002382749
Sample69,0.002729974
Sample70,0.002512563
Sample71,0.005931411
Sample72,0.001188252
Sample73,0.001271655
Sample74,0.001961864
Sample75,0.000843
Sample76,0.001683843
Sample77,0.000197
Sample78,0.000439
Sample79,0.000673
Sample80,0.0000362
Sample81,0.001372987
Sample82,0.002160681
Sample83,0.001603174
Sample84,0.000523
Sample85,0.0000992
Sample86,0.000895
Sample87,0.00100734
Sample88,0.000515
Sample89,0.000147
Sample90,0.00013
Sample91,0.0000803
Sample92,0.000416
Sample93,0.000574
Sample94,0
Sample95,0.000935
Sample96,0.001182685
Sample97,0.001323073
Sample98,0.001909255
Sample99,0.000455
