SAMPLE,VALUE
Sample1,0.0000536
Sample2,0
Sample3,0
Sample4,0
Sample5,0
Sample6,0
Sample7,0
Sample8,0
Sample9,0
Sample10,0.000104
Sample11,0
Sample12,0
Sample13,0
Sample14,0
Sample15,0
Sample16,0
Sample17,0
Sample18,0.00045
Sample19,0
Sample20,0
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0
Sample30,0.000776
Sample31,0.000123
Sample32,0.000471
Sample33,0.0000681
Sample34,0
Sample35,0.0000362
Sample36,0
Sample37,0.0000821
Sample38,0
Sample39,0.001671245
Sample40,0.002249067
Sample41,0.004103442
Sample42,0
Sample43,0.000108
Sample44,0
Sample45,0
Sample46,0.000656
Sample47,0.001488263
Sample48,0.001979753
Sample49,0
Sample50,0.000277
Sample51,0.000134
Sample52,0
Sample53,0.000666
Sample54,0.002788335
Sample55,0.003374814
Sample56,0.000674
Sample57,0.001543893
Sample58,0.000819
Sample59,0.00043
Sample60,0.000731
Sample61,0.000141
Sample62,0.000557
Sample63,0.000974
Sample64,0
Sample65,0.001000549
Sample66,0.00106776
Sample67,0.003595379
Sample68,0.003176999
Sample69,0
Sample70,0.0028715
Sample71,0.006672837
Sample72,0.00137106
Sample73,0.001369475
Sample74,0.002615819
Sample75,0.00126508
Sample76,0.003101817
Sample77,0.000197
Sample78,0.000293
Sample79,0.002217556
Sample80,0
Sample81,0
Sample82,0
Sample83,0
Sample84,0
Sample85,0
Sample86,0.0000639
Sample87,0
Sample88,0
Sample89,0
Sample90,0
Sample91,0
Sample92,0
Sample93,0
Sample94,0
Sample95,0
Sample96,0
Sample97,0.000794
Sample98,0.002147912
Sample99,0
