SAMPLE,VALUE
Sample1,0.009647
Sample2,0.000148
Sample3,0
Sample4,0.001120042
Sample5,0.001833819
Sample6,0.004964043
Sample7,0
Sample8,0.001092583
Sample9,0.000329
Sample10,0.013069319
Sample11,0.003843128
Sample12,0.001798773
Sample13,0.000185
Sample14,0.001205471
Sample15,0.000613
Sample16,0.001721291
Sample17,0.001951575
Sample18,0
Sample19,0.000125
Sample20,0.000278
Sample21,0.0000913
Sample22,0
Sample23,0.000164
Sample24,0.000148
Sample25,0
Sample26,0.000628
Sample27,0.000663
Sample28,0.0000666
Sample29,0.000229
Sample30,0.004399557
Sample31,0.0000614
Sample32,0.000761
Sample33,0.000272
Sample34,0
Sample35,0.0000725
Sample36,0.001908982
Sample37,0
Sample38,0.0000769
Sample39,0.004774985
Sample40,0.002998756
Sample41,0.012017223
Sample42,0.000132
Sample43,0.000217
Sample44,0
Sample45,0.003916855
Sample46,0.002787955
Sample47,0.001736307
Sample48,0.003880315
Sample49,0
Sample50,0.000356
Sample51,0.0000576
Sample52,0.002639211
Sample53,0.002581776
Sample54,0.004740169
Sample55,0.005135587
Sample56,0.000225
Sample57,0.002058524
Sample58,0.000637
Sample59,0.000573
Sample60,0.002313386
Sample61,0.001201017
Sample62,0.048933964
Sample63,0.004059628
Sample64,0.001705449
Sample65,0.015571045
Sample66,0.004853455
Sample67,0.006471682
Sample68,0.00496406
Sample69,0.00103999
Sample70,0.008135918
Sample71,0.009020687
Sample72,0.00319914
Sample73,0.002005303
Sample74,0.005754801
Sample75,0.00284643
Sample76,0.00451979
Sample77,0.000315
Sample78,0.000322
Sample79,0.002177956
Sample80,0.000616
Sample81,0.001901058
Sample82,0.000508
Sample83,0.095423705
Sample84,0.001379894
Sample85,0.002083433
Sample86,0.000192
Sample87,0.001217202
Sample88,0.00226526
Sample89,0.002433442
Sample90,0.000737
Sample91,0.000281
Sample92,0.065556166
Sample93,0.002033956
Sample94,0.0000457
Sample95,0.003485411
Sample96,0.002562485
Sample97,0.001455381
Sample98,0.004693585
Sample99,0
