SAMPLE,VALUE
Sample1,0
Sample2,0
Sample3,0
Sample4,0
Sample5,0.000539
Sample6,0.000891
Sample7,0.0000409
Sample8,0.0000683
Sample9,0.0000822
Sample10,0.001244697
Sample11,0.000327
Sample12,0.0000439
Sample13,0.0000463
Sample14,0.0000977
Sample15,0.000141
Sample16,0.00053
Sample17,0.000651
Sample18,0.00045
Sample19,0
Sample20,0
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0.0000285
Sample27,0
Sample28,0.0000222
Sample29,0
Sample30,0
Sample31,0
Sample32,0
Sample33,0
Sample34,0
Sample35,0
Sample36,0
Sample37,0
Sample38,0
Sample39,0
Sample40,0
Sample41,0.001172412
Sample42,0
Sample43,0
Sample44,0
Sample45,0
Sample46,0.000082
Sample47,0
Sample48,0.000238
Sample49,0
Sample50,0
Sample51,0
Sample52,0
Sample53,0
Sample54,0.000279
Sample55,0.000147
Sample56,0.00015
Sample57,0.000343
Sample58,0
Sample59,0
Sample60,0
Sample61,0
Sample62,0
Sample63,0
Sample64,0.000341
Sample65,0
Sample66,0.0000485
Sample67,0
Sample68,0.0000993
Sample69,0.00026
Sample70,0.000239
Sample71,0.000124
Sample72,0
Sample73,0.000147
Sample74,0.000131
Sample75,0.000158
Sample76,0.000177
Sample77,0.0000393
Sample78,0
Sample79,0.000158
Sample80,0
Sample81,0.000317
Sample82,0.000381
Sample83,0.000139
Sample84,0.0000476
Sample85,0
Sample86,0.000384
Sample87,0.0000839
Sample88,0
Sample89,0
Sample90,0
Sample91,0.0000402
Sample92,0
Sample93,0
Sample94,0
Sample95,0.00017
Sample96,0
Sample97,0.000132
Sample98,0
Sample99,0
