SAMPLE,VALUE
Sample01,0.002384953
Sample02,0.003054789
Sample03,0.022030345
Sample04,0.028897073
Sample05,0.003559767
Sample06,0.006364157
Sample07,0.0000409
Sample08,0.003141177
Sample09,0.001507646
Sample10,0.005186238
Sample11,0.003188979
Sample12,0.0017549
Sample13,0.002267896
Sample14,0.000261
Sample15,0.001414519
Sample16,0.001721291
Sample17,0.004293465
Sample18,0.001798804
Sample19,0.005050511
Sample20,0.005783781
Sample21,0.002692927
Sample22,0.000887
Sample23,0.000654
Sample24,0.004057962
Sample25,0.000668
Sample26,0.000713
Sample27,0.004722304
Sample28,0.000754
Sample29,0.009466501
Sample30,0.002393877
Sample31,0.000307
Sample32,0.001702878
Sample33,0.000409
Sample34,0
Sample35,0.000254
Sample36,0.003817964
Sample37,0.000219
Sample38,0.0000513
Sample39,0.006923728
Sample40,0.007246992
Sample41,0.011431017
Sample42,0.000397
Sample43,0.001030308
Sample44,0.0000561
Sample45,0.004741457
Sample46,0.00368994
Sample47,0.002232395
Sample48,0.004988977
Sample49,0
Sample50,0.001068336
Sample51,0.000538
Sample52,0.014369038
Sample53,0.001249246
Sample54,0.009201505
Sample55,0.006749628
Sample56,0.00389561
Sample57,0.00703329
Sample58,0.002911666
Sample59,0.001624108
Sample60,0.006209615
Sample61,0.004309532
Sample62,0.004508409
Sample63,0.005683479
Sample64,0.003069807
Sample65,0.005878226
Sample66,0.004999058
Sample67,0.01366244
Sample68,0.012013026
Sample69,0.003639966
Sample70,0.006580522
Sample71,0.014952098
Sample72,0.004661604
Sample73,0.00278786
Sample74,0.007193501
Sample75,0.002266602
Sample76,0.006026387
Sample77,0.001140644
Sample78,0.000644
Sample79,0.002732345
Sample80,0.000906
Sample81,0.003062816
Sample82,0.001016791
Sample83,0.002230503
Sample84,0.000333
Sample85,0.003273965
Sample86,0.001917785
Sample87,0.001217202
Sample88,0.004839419
Sample89,0.000885
Sample90,0.001083528
Sample91,0.000884
Sample92,0.004162296
Sample93,0.003233468
Sample94,0.0000457
Sample95,0.006375751
Sample96,0.006110542
Sample97,0.005159986
Sample98,0.006205078
Sample99,0.014556239
