SAMPLE,VALUE
Sample1,0.000134
Sample2,0
Sample3,0
Sample4,0.000224
Sample5,0
Sample6,0.000764
Sample7,0.0000409
Sample8,0
Sample9,0.000137
Sample10,0.000519
Sample11,0.000327
Sample12,0.0000877
Sample13,0.000694
Sample14,0.0000652
Sample15,0
Sample16,0.001191663
Sample17,0
Sample18,0.001798804
Sample19,0
Sample20,0
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0.0000285
Sample27,0
Sample28,0
Sample29,0.0000457
Sample30,0
Sample31,0.0000307
Sample32,0
Sample33,0.0000341
Sample34,0
Sample35,0
Sample36,0
Sample37,0
Sample38,0
Sample39,0.001909994
Sample40,0.00075
Sample41,0.000879
Sample42,0
Sample43,0.000108
Sample44,0
Sample45,0
Sample46,0.000164
Sample47,0
Sample48,0.0000792
Sample49,0
Sample50,0
Sample51,0.0000768
Sample52,0
Sample53,0
Sample54,0
Sample55,0.000293
Sample56,0
Sample57,0.000343
Sample58,0
Sample59,0
Sample60,0
Sample61,0.002048794
Sample62,0.000101
Sample63,0.0000812
Sample64,0
Sample65,0.000438
Sample66,0.000437
Sample67,0.000288
Sample68,0.000596
Sample69,0
Sample70,0.015793252
Sample71,0
Sample72,0
Sample73,0.0000978
Sample74,0
Sample75,0
Sample76,0.000532
Sample77,0
Sample78,0
Sample79,0.000158
Sample80,0.000435
Sample81,0
Sample82,0.000508
Sample83,0
Sample84,0.000143
Sample85,0.0000992
Sample86,0
Sample87,0.0000839
Sample88,0.000206
Sample89,0.0000737
Sample90,0.000173
Sample91,0
Sample92,0.001248689
Sample93,0
Sample94,0
Sample95,0
Sample96,0.000197
Sample97,0
Sample98,0.000159
Sample99,0.001137206
