SAMPLE,VALUE
Sample1,0.018731259
Sample2,0.000197
Sample3,0.002309633
Sample4,0.004928183
Sample5,0.007982508
Sample6,0.01743779
Sample7,0.000225
Sample8,0.005121485
Sample9,0.000548
Sample10,0.008194256
Sample11,0.003679591
Sample12,0.005133083
Sample13,0.005739165
Sample14,0.000652
Sample15,0.002074628
Sample16,0.019861052
Sample17,0.008196615
Sample18,0.000899
Sample19,0.000374
Sample20,0.000972
Sample21,0.000228
Sample22,0.0000634
Sample23,0.000273
Sample24,0.002360996
Sample25,0
Sample26,0.000599
Sample27,0.000414
Sample28,0.000133
Sample29,0.000412
Sample30,0.255044934
Sample31,0.0000921
Sample32,0.000471
Sample33,0.000136
Sample34,0.0000882
Sample35,0.000435
Sample36,0.004533833
Sample37,0.000383
Sample38,0
Sample39,0.019338688
Sample40,0.0134944
Sample41,0.002344824
Sample42,0.00357295
Sample43,0.000705
Sample44,0.0000561
Sample45,0.018965826
Sample46,0.000984
Sample47,0.001240219
Sample48,0.000475
Sample49,0.000776
Sample50,0.000475
Sample51,0.000288
Sample52,0.001172983
Sample53,0.0000833
Sample54,0.004740169
Sample55,0.004255201
Sample56,0.000749
Sample57,0.009263357
Sample58,0.001091875
Sample59,0.001241965
Sample60,0.001461086
Sample61,0.012857947
Sample62,0.002938064
Sample63,0.003328895
Sample64,0.009550512
Sample65,0.001688427
Sample66,0.01718123
Sample67,0.006040237
Sample68,0.004566935
Sample69,0.003119971
Sample70,0.077650156
Sample71,0.005437126
Sample72,0.002650716
Sample73,0.000391
Sample74,0.008762992
Sample75,0.005903707
Sample76,0.004431167
Sample77,0.000629
Sample78,0.0000878
Sample79,0.00150477
Sample80,0.000326
Sample81,0.005069489
Sample82,0.004956856
Sample83,0.003485161
Sample84,0.002902535
Sample85,0.001041716
Sample86,0.001853858
Sample87,0.001552982
Sample88,0.00113263
Sample89,0.000442
Sample90,0.000433
Sample91,0.000201
Sample92,0.001873033
Sample93,0.00192965
Sample94,0
Sample95,0.00289034
Sample96,0.003548056
Sample97,0.001587688
Sample98,0.000716
Sample99,0.019332505
