SAMPLE,VALUE
Sample1,0.003215667
Sample2,0
Sample3,0
Sample4,0
Sample5,0.000647
Sample6,0.001527398
Sample7,0.0000204
Sample8,0.000615
Sample9,0.001041646
Sample10,0.000622
Sample11,0.00122653
Sample12,0.000483
Sample13,0.0000463
Sample14,0
Sample15,0.000141
Sample16,0.003045361
Sample17,0.002471995
Sample18,0
Sample19,0
Sample20,0.000139
Sample21,0.0000456
Sample22,0
Sample23,0.000109
Sample24,0.000148
Sample25,0
Sample26,0.0000571
Sample27,0.0000828
Sample28,0
Sample29,0.000137
Sample30,0.000388
Sample31,0.0000307
Sample32,0.0000725
Sample33,0.0000681
Sample34,0.0000294
Sample35,0
Sample36,0.000477
Sample37,0
Sample38,0
Sample39,0.000836
Sample40,0
Sample41,0.002051721
Sample42,0.000265
Sample43,0
Sample44,0
Sample45,0.006596809
Sample46,0.000738
Sample47,0.000248
Sample48,0.000554
Sample49,0.000388
Sample50,0.000158
Sample51,0.0000192
Sample52,0
Sample53,0.00025
Sample54,0.001115334
Sample55,0.000587
Sample56,0.000749
Sample57,0.000858
Sample58,0.000637
Sample59,0.000239
Sample60,0.000609
Sample61,0.001130369
Sample62,0.000405
Sample63,0.000487
Sample64,0.006139615
Sample65,0.001000549
Sample66,0.000679
Sample67,0.000863
Sample68,0.001588499
Sample69,0.00052
Sample70,0.003350084
Sample71,0.002965705
Sample72,0.000731
Sample73,0.001320565
Sample74,0.000654
Sample75,0.000843
Sample76,0.00106348
Sample77,0
Sample78,0.0000293
Sample79,0.000396
Sample80,0.000254
Sample81,0.000422
Sample82,0
Sample83,0.003694271
Sample84,0.0000952
Sample85,0.001736194
Sample86,0
Sample87,0.001385092
Sample88,0.001956361
Sample89,0.0000737
Sample90,0.00013
Sample91,0.000121
Sample92,0.000624
Sample93,0.001043054
Sample94,0
Sample95,0.00238028
Sample96,0.001576914
Sample97,0.000397
Sample98,0.00103418
Sample99,0
