SAMPLE,VALUE
Sample01,0.014095339
Sample02,0.003054789
Sample03,0.017766407
Sample04,0.028001039
Sample05,0.015317785
Sample06,0.01578311
Sample07,0.0000409
Sample08,0.014408445
Sample09,0.000603
Sample10,0.017633209
Sample11,0.008340406
Sample12,0.004518868
Sample13,0.009765837
Sample14,0.001987399
Sample15,0.002546135
Sample16,0.006752758
Sample17,0.00468378
Sample18,0.004047309
Sample19,0.004925807
Sample20,0.005135998
Sample21,0.003331926
Sample22,0.00057
Sample23,0.000491
Sample24,0.005459804
Sample25,0.002002884
Sample26,0.001340968
Sample27,0.007290574
Sample28,0.000621
Sample29,0.007134175
Sample30,0.005887643
Sample31,0.000491
Sample32,0.005362253
Sample33,0.002179356
Sample34,0.0000294
Sample35,0.000688
Sample36,0.01897051
Sample37,0.000383
Sample38,0.000692
Sample39,0.010146843
Sample40,0.029737659
Sample41,0.039862007
Sample42,0.000794
Sample43,0.001138762
Sample44,0.000196
Sample45,0.009482913
Sample46,0.005903904
Sample47,0.01475861
Sample48,0.040149384
Sample49,0.000388
Sample50,0.003007168
Sample51,0.003148712
Sample52,0.015248775
Sample53,0.002415209
Sample54,0.013105173
Sample55,0.008216939
Sample56,0.006143077
Sample57,0.012351143
Sample58,0.003730573
Sample59,0.004108038
Sample60,0.006087858
Sample61,0.006782214
Sample62,0.007953036
Sample63,0.047172875
Sample64,0.006139615
Sample65,0.031142089
Sample66,0.025383569
Sample67,0.045301775
Sample68,0.041995949
Sample69,0.006889935
Sample70,0.033979421
Sample71,0.058449109
Sample72,0.017915184
Sample73,0.01110253
Sample74,0.030212705
Sample75,0.011227586
Sample76,0.02153547
Sample77,0.00491657
Sample78,0.003393587
Sample79,0.011958961
Sample80,0.00152134
Sample81,0.005491946
Sample82,0.006482043
Sample83,0.010106967
Sample84,0.002331545
Sample85,0.009425052
Sample86,0.002620972
Sample87,0.001594955
Sample88,0.012664862
Sample89,0.002728404
Sample90,0.003380607
Sample91,0.002169235
Sample92,0.013319348
Sample93,0.008500891
Sample94,0.000365
Sample95,0.012751502
Sample96,0.015374911
Sample97,0.008335362
Sample98,0.031980016
Sample99,0.017967858
