SAMPLE,VALUE
Sample01,0.005922186
Sample02,0.000197
Sample03,0.000711
Sample04,0
Sample05,0.003667639
Sample06,0.00203653
Sample07,0.0000204
Sample08,0.000888
Sample09,0.000137
Sample10,0.001452147
Sample11,0.001717142
Sample12,0.000351
Sample13,0.000972
Sample14,0.0000652
Sample15,0.000896
Sample16,0.00053
Sample17,0.00104084
Sample18,0.004497009
Sample19,0
Sample20,0.000416
Sample21,0.0000913
Sample22,0
Sample23,0
Sample24,0.000148
Sample25,0
Sample26,0.000228
Sample27,0
Sample28,0
Sample29,0.000183
Sample30,0.00097
Sample31,0.000123
Sample32,0.0000725
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000597
Sample37,0
Sample38,0
Sample39,0.001790619
Sample40,0.001749274
Sample41,0.001172412
Sample42,0.000265
Sample43,0.0000542
Sample44,0.000028
Sample45,0.000825
Sample46,0.001311979
Sample47,0.001240219
Sample48,0.000396
Sample49,0
Sample50,0.000594
Sample51,0.000096
Sample52,0.000586
Sample53,0.00025
Sample54,0.002509501
Sample55,0.002641159
Sample56,0.001198649
Sample57,0.003259329
Sample58,0.001182864
Sample59,0.000334
Sample60,0.0076707
Sample61,0.001695553
Sample62,0.002076907
Sample63,0.002598162
Sample64,0.004093077
Sample65,0.000938
Sample66,0.001116295
Sample67,0.002876303
Sample68,0.001588499
Sample69,0.001559985
Sample70,0.000718
Sample71,0.002594992
Sample72,0.000548
Sample73,0.000147
Sample74,0.000654
Sample75,0.000474
Sample76,0.001152103
Sample77,0.000236
Sample78,0.000146
Sample79,0.000634
Sample80,0.0000362
Sample81,0.001372987
Sample82,0.00089
Sample83,0.000279
Sample84,0.0000476
Sample85,0.000496
Sample86,0.000831
Sample87,0.000378
Sample88,0.000721
Sample89,0.0000737
Sample90,0.0000867
Sample91,0.000241
Sample92,0.001664919
Sample93,0.000574
Sample94,0
Sample95,0.00178521
Sample96,0.000197
Sample97,0.001323073
Sample98,0.001113732
Sample99,0.000455
