SAMPLE,VALUE
Sample01,0.038159245
Sample02,0.000443
Sample03,0.001598977
Sample04,0.002240083
Sample05,0.024918368
Sample06,0.004200344
Sample07,0
Sample08,0.003619183
Sample09,0.000877
Sample10,0.00829798
Sample11,0.007604488
Sample12,0.00333431
Sample13,0.001990194
Sample14,0.000619
Sample15,0.004243558
Sample16,0.027011031
Sample17,0.00312252
Sample18,0.001798804
Sample19,0.000312
Sample20,0.000509
Sample21,0.000411
Sample22,0
Sample23,0
Sample24,0.001696966
Sample25,0
Sample26,0.000314
Sample27,0.000249
Sample28,0.0000444
Sample29,0.000823
Sample30,0.007375729
Sample31,0.000154
Sample32,0.00058
Sample33,0.000136
Sample34,0
Sample35,0.0000725
Sample36,0.011453893
Sample37,0.0000274
Sample38,0.000179
Sample39,0.001193746
Sample40,0.001749274
Sample41,0.008499987
Sample42,0.003440619
Sample43,0.0000542
Sample44,0
Sample45,0.005153757
Sample46,0.002295963
Sample47,0.001240219
Sample48,0.002296513
Sample49,0
Sample50,0.000712
Sample51,0.000192
Sample52,0.002932457
Sample53,0.000666
Sample54,0.003903669
Sample55,0.002347697
Sample56,0.000824
Sample57,0.003430873
Sample58,0.001091875
Sample59,0.006783039
Sample60,0.002922172
Sample61,0.007771287
Sample62,0.007294504
Sample63,0.004222013
Sample64,0.006139615
Sample65,0.019198035
Sample66,0.023830463
Sample67,0.009635616
Sample68,0.003673405
Sample69,0.002599976
Sample70,0.005503709
Sample71,0.017794232
Sample72,0.001096848
Sample73,0.000587
Sample74,0.002485028
Sample75,0.002161179
Sample76,0.002215583
Sample77,0.000747
Sample78,0.000819
Sample79,0.001069179
Sample80,0.000326
Sample81,0.004435803
Sample82,0.002541978
Sample83,0.057993077
Sample84,0.001427476
Sample85,0.001537772
Sample86,0.000575
Sample87,0.000336
Sample88,0.005045352
Sample89,0.000701
Sample90,0.001516939
Sample91,0.000562
Sample92,0.102184373
Sample93,0.001512429
Sample94,0.000228
Sample95,0.00297535
Sample96,0.009855712
Sample97,0.002646147
Sample98,0.003102539
Sample99,0.002729295
