SAMPLE,VALUE
Sample01,0.001339861
Sample02,0.0000985
Sample03,0
Sample04,0
Sample05,0
Sample06,0
Sample07,0.0000204
Sample08,0.000137
Sample09,0
Sample10,0.000104
Sample11,0.0000818
Sample12,0
Sample13,0
Sample14,0.000163
Sample15,0
Sample16,0
Sample17,0.00013
Sample18,0
Sample19,0.0000624
Sample20,0
Sample21,0.000365
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0
Sample30,0
Sample31,0
Sample32,0
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000358
Sample37,0
Sample38,0
Sample39,0.000119
Sample40,0
Sample41,0.000293
Sample42,0
Sample43,0
Sample44,0
Sample45,0
Sample46,0.000246
Sample47,0
Sample48,0
Sample49,0
Sample50,0
Sample51,0
Sample52,0.000293
Sample53,0
Sample54,0
Sample55,0.000147
Sample56,0
Sample57,0.000686
Sample58,0
Sample59,0
Sample60,0.000244
Sample61,0.002331386
Sample62,0.000101
Sample63,0.001623851
Sample64,0
Sample65,0.001563358
Sample66,0.000194
Sample67,0.000288
Sample68,0.000496
Sample69,0.00026
Sample70,0.00012
Sample71,0.000741
Sample72,0.000274
Sample73,0.000196
Sample74,0
Sample75,0.000422
Sample76,0.000177
Sample77,0.0000393
Sample78,0.000234
Sample79,0.000238
Sample80,0.000109
Sample81,0.000211
Sample82,0
Sample83,0
Sample84,0
Sample85,0.0000496
Sample86,0.0000639
Sample87,0
Sample88,0
Sample89,0
Sample90,0
Sample91,0
Sample92,0
Sample93,0
Sample94,0
Sample95,0
Sample96,0.000394
Sample97,0
Sample98,0
Sample99,0
