SAMPLE,VALUE
Sample01,0.004877095
Sample02,0
Sample03,0.000355
Sample04,0
Sample05,0.002373178
Sample06,0.000382
Sample07,0
Sample08,0
Sample09,0
Sample10,0.000519
Sample11,0.0000818
Sample12,0
Sample13,0
Sample14,0.0000326
Sample15,0.00033
Sample16,0.003574989
Sample17,0
Sample18,0.00045
Sample19,0
Sample20,0.0000463
Sample21,0
Sample22,0
Sample23,0
Sample24,0.0000738
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0.000274
Sample30,0.000129
Sample31,0.0000614
Sample32,0.0000362
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000835
Sample37,0
Sample38,0
Sample39,0
Sample40,0
Sample41,0.000586
Sample42,0.000926
Sample43,0
Sample44,0
Sample45,0.000618
Sample46,0
Sample47,0.000124
Sample48,0.0000792
Sample49,0
Sample50,0
Sample51,0.0000384
Sample52,0
Sample53,0.00025
Sample54,0.000558
Sample55,0
Sample56,0
Sample57,0
Sample58,0
Sample59,0.000239
Sample60,0
Sample61,0
Sample62,0.000355
Sample63,0.000162
Sample64,0
Sample65,0.000563
Sample66,0.002717935
Sample67,0.001581967
Sample68,0
Sample69,0
Sample70,0.00012
Sample71,0.001977137
Sample72,0.0000914
Sample73,0.0000978
Sample74,0.000392
Sample75,0.000105
Sample76,0.000266
Sample77,0.000118
Sample78,0
Sample79,0
Sample80,0.0000362
Sample81,0
Sample82,0
Sample83,0.010803999
Sample84,0.0000476
Sample85,0
Sample86,0
Sample87,0
Sample88,0.000721
Sample89,0
Sample90,0
Sample91,0.0000803
Sample92,0
Sample93,0
Sample94,0
Sample95,0
Sample96,0
Sample97,0
Sample98,0
Sample99,0
