SAMPLE,VALUE
Sample1,0.011281631
Sample2,0.000246
Sample3,0.001065984
Sample4,0.001568058
Sample5,0.001402332
Sample6,0.004327627
Sample7,0.0000204
Sample8,0.001843735
Sample9,0.000466
Sample10,0.001555871
Sample11,0.001553605
Sample12,0.000526
Sample13,0.000509
Sample14,0.000228
Sample15,0.000566
Sample16,0.000794
Sample17,0.000911
Sample18,0.00045
Sample19,0.000312
Sample20,0.000463
Sample21,0.000274
Sample22,0.00038
Sample23,0.0000545
Sample24,0.000369
Sample25,0
Sample26,0
Sample27,0.000331
Sample28,0.0002
Sample29,0.000274
Sample30,0.001099889
Sample31,0
Sample32,0.000181
Sample33,0
Sample34,0
Sample35,0
Sample36,0.000835
Sample37,0
Sample38,0.0000256
Sample39,0.001432495
Sample40,0.001749274
Sample41,0.001172412
Sample42,0.000132
Sample43,0
Sample44,0
Sample45,0.000825
Sample46,0.00041
Sample47,0.000124
Sample48,0.001267042
Sample49,0.000388
Sample50,0.0000791
Sample51,0.00025
Sample52,0.002932457
Sample53,0
Sample54,0.000279
Sample55,0.001027117
Sample56,0.000899
Sample57,0.00188698
Sample58,0.000637
Sample59,0.000573
Sample60,0.001095814
Sample61,0.004168236
Sample62,0.000304
Sample63,0.003247702
Sample64,0.001364359
Sample65,0.00075
Sample66,0.00106776
Sample67,0.001294336
Sample68,0.001389937
Sample69,0.00091
Sample70,0.002153625
Sample71,0.002594992
Sample72,0.000548
Sample73,0.000245
Sample74,0.001700282
Sample75,0.000843
Sample76,0.00159522
Sample77,0.000118
Sample78,0.000146
Sample79,0.000475
Sample80,0.000109
Sample81,0.006759319
Sample82,0.003558769
Sample83,0.067542418
Sample84,0.0000476
Sample85,0.002133038
Sample86,0.001470302
Sample87,0.000252
Sample88,0.008649174
Sample89,0.0000369
Sample90,0.00013
Sample91,0.000362
Sample92,0.001873033
Sample93,0.003442079
Sample94,0.0000457
Sample95,0.00178521
Sample96,0.001971142
Sample97,0.001455381
Sample98,0.001272836
Sample99,0.001592089
