SAMPLE,VALUE
Sample01,0.00367122
Sample02,0.000246
Sample03,0
Sample04,0.000224
Sample05,0.000539
Sample06,0.001145548
Sample07,0
Sample08,0.001775448
Sample09,0.0000274
Sample10,0.000311
Sample11,0.001553605
Sample12,0.000307
Sample13,0.000231
Sample14,0.0000326
Sample15,0.000189
Sample16,0.000265
Sample17,0
Sample18,0.00045
Sample19,0.000249
Sample20,0.0000463
Sample21,0.0000456
Sample22,0
Sample23,0
Sample24,0.000148
Sample25,0
Sample26,0
Sample27,0.0000828
Sample28,0.0000222
Sample29,0.000137
Sample30,0.000129
Sample31,0
Sample32,0.0000362
Sample33,0.0000681
Sample34,0
Sample35,0
Sample36,0.000835
Sample37,0
Sample38,0
Sample39,0.000716
Sample40,0.0005
Sample41,0.000586
Sample42,0
Sample43,0
Sample44,0
Sample45,0.000618
Sample46,0.000246
Sample47,0
Sample48,0.000396
Sample49,0.000388
Sample50,0.0000396
Sample51,0.0000768
Sample52,0.000586
Sample53,0
Sample54,0.000558
Sample55,0.000734
Sample56,0.00015
Sample57,0.001029262
Sample58,0.000273
Sample59,0.000239
Sample60,0.000365
Sample61,0.003532403
Sample62,0.001063782
Sample63,0.003085317
Sample64,0
Sample65,0.000875
Sample66,0.015288383
Sample67,0.001725782
Sample68,0.000397
Sample69,0.00039
Sample70,0.000838
Sample71,0.001977137
Sample72,0.001005444
Sample73,0.000391
Sample74,0.000654
Sample75,0.000527
Sample76,0.000709
Sample77,0.0000393
Sample78,0.0000293
Sample79,0.000317
Sample80,0.0000724
Sample81,0
Sample82,0.001525187
Sample83,0.001324361
Sample84,0.0000476
Sample85,0
Sample86,0.000639
Sample87,0.00042
Sample88,0.000927
Sample89,0.0000369
Sample90,0.000997
Sample91,0.0000803
Sample92,0.000624
Sample93,0.000156
Sample94,0
Sample95,0.00051
Sample96,0
Sample97,0.000265
Sample98,0.000557
Sample99,0.000227
